title,village,area,type,size,ori,info,rent,people,dist
西子一间办公大三房 采光好 格局好,西子一间  ,高桥租房,3室2厅  ,137平米  ,南,距离2号线万家丽广场站1064米,3100,26,yuhua
新城新世界三房自带车位，家具家电齐全,新城新世界三期  ,高桥租房,3室2厅  ,90平米  ,南,距离城际铁路树木岭站站996米,2500,5,yuhua
华盛世纪新城 4室1厅 2900元,华盛世纪新城  ,喜盈门租房,4室1厅  ,139平米  ,南 北,距离城际铁路湘府路站站846米,2900,4,yuhua
莲湖汽车饰品城小区 2室1厅 1600元,莲湖汽车饰品城小区  ,喜盈门租房,2室1厅  ,70平米  ,南 北,距离城际铁路湘府路站站935米,1600,0,yuhua
五矿万境水岸二期 3室2厅 2600元,五矿万境水岸二期  ,喜盈门租房,3室2厅  ,140平米  ,南,距离城际铁路湘府路站站704米,2600,0,yuhua
百纳公寓 1室1厅 1600元,百纳公寓  ,马王堆租房,1室1厅  ,40平米  ,南,距离2号线万家丽广场站493米,1600,0,furong
新城新世界 2室2厅 2400元,新城新世界  ,高桥租房,2室2厅  ,89平米  ,南 北,距离城际铁路树木岭站站1076米,2400,1,yuhua
南北通透精装修小三房，浏阳河边上，随时拎包入住,鑫科明珠  ,马王堆租房,3室1厅  ,84平米  ,北,随时看房,2700,0,furong
万博汇名邸一期 2室1厅 2400元,万博汇名邸一期  ,雨花亭租房,2室1厅  ,67平米  ,西,随时看房,2400,3,yuhua
凯通国际城 3室1厅 2400元,凯通国际城  ,火车站租房,3室1厅  ,79平米  ,南 北,距离2号线长沙火车站站859米,2400,0,furong
芙蓉明珠 1室1厅 2160元,芙蓉明珠  ,尚东租房,1室1厅  ,40平米  ,北,/,2160,/,furong
佳天瑞宁花园 1室1厅 1800元,佳天瑞宁花园  ,赤岗冲租房,1室1厅  ,50平米  ,北,随时看房,1800,8,yuhua
德政园润心苑 85平两房 带30平大露台,德政园润心苑  ,德政园租房,2室2厅  ,85平米  ,南 北,距离2号线锦泰广场站1060米,2000,0,furong
芙蓉明珠 1室1厅 2160元,芙蓉明珠  ,尚东租房,1室1厅  ,40平米  ,北,/,2160,/,furong
天韵家园 2室1厅 1400元,天韵家园  ,左家塘租房,2室1厅  ,88平米  ,南,随时看房,1400,2,yuhua
