date,open,close,high,low
2015-06-30,2.143,2.571,2.571,2.143
2015-07-01,2.829,2.829,2.829,2.829
2015-07-02,3.113,3.113,3.113,3.113
2015-07-03,3.423,3.423,3.423,3.423
2015-07-06,3.765,3.765,3.765,3.765
2015-07-07,4.14,3.658,4.14,3.655
2015-07-08,3.293,3.293,3.293,3.293
2015-07-09,3.024,3.621,3.621,3.024
2015-07-10,3.984,3.984,3.984,3.984
2015-07-13,4.383,4.383,4.383,4.383
2015-07-14,4.771,4.821,4.821,4.497
2015-07-15,5.081,4.823,5.303,4.563
2015-07-16,4.341,4.57,5.032,4.341
2015-07-17,4.589,4.881,5.001,4.427
2015-07-20,4.693,4.641,4.922,4.565
2015-07-21,4.511,5.105,5.105,4.401
2015-07-22,5.214,4.995,5.449,4.847
2015-07-23,4.922,5.496,5.496,4.902
2015-07-24,5.866,6.046,6.046,5.684
2015-07-27,5.918,5.83,6.596,5.697
2015-07-28,5.251,6.088,6.283,5.246
2015-07-29,6.179,6.698,6.698,5.866
2015-07-30,6.909,7.17,7.368,6.766
2015-07-31,7.013,7.887,7.887,6.784
2015-08-03,7.9,8.677,8.677,7.704
2015-08-04,9.112,7.955,9.545,7.809
2015-08-05,7.496,8.75,8.75,7.214
2015-08-06,8.75,9.383,9.595,7.952
2015-08-07,8.891,9.18,9.907,8.734
2015-08-10,8.906,9.086,9.503,8.669
2015-08-11,9.044,9.164,9.49,8.841
2015-08-12,8.865,8.338,9.073,8.333
2015-08-13,8.082,8.088,8.325,7.691
2015-08-14,8.082,7.996,8.262,7.824
2015-08-17,7.952,7.303,7.952,7.3
2015-08-18,7.248,7.59,7.939,6.938
2015-08-19,7.431,7.462,7.848,6.922
2015-08-20,7.217,6.716,7.269,6.716
2015-08-21,6.401,6.044,6.586,6.044
2015-08-24,5.493,5.439,5.699,5.439
2015-08-25,4.894,4.896,5.885,4.894
2015-08-26,5.032,5.387,5.387,4.771
2015-08-27,5.632,5.926,5.926,5.261
2015-08-28,5.926,6.127,6.427,5.652
2015-08-31,5.918,5.514,6.101,5.514
2015-09-01,5.214,4.964,5.397,4.964
2015-09-02,4.526,4.526,5.209,4.511
2015-09-07,4.67,4.743,4.98,4.615
2015-09-08,4.534,5.217,5.217,4.534
2015-09-09,5.603,5.739,5.739,5.475
2015-09-10,5.475,5.371,5.788,5.293
2015-09-11,5.254,5.499,5.606,5.241
2015-09-14,5.501,4.949,5.658,4.949
2015-09-15,4.693,4.508,5.006,4.471
2015-09-16,4.61,4.959,4.959,4.61
2015-09-17,5.246,4.912,5.287,4.878
2015-09-18,4.954,4.975,5.05,4.81
2015-09-21,4.826,5.29,5.29,4.81
2015-09-22,5.222,5.233,5.387,5.113
2015-09-23,5.11,5.397,5.592,5.081
2015-09-24,5.371,5.428,5.473,5.287
2015-09-25,5.392,4.954,5.428,4.902
2015-09-28,5.008,5.287,5.332,5.008
2015-09-29,5.162,5.074,5.212,5.008
2015-09-30,5.141,5.055,5.186,4.962
2015-10-08,5.254,5.347,5.501,5.165
2015-10-09,5.35,5.366,5.462,5.214
2015-10-12,5.423,5.739,5.892,5.373
2015-10-13,5.632,5.749,5.783,5.585
2015-10-14,5.736,5.673,6.044,5.658
2015-10-15,5.595,5.918,5.991,5.551
2015-10-16,5.947,5.879,5.989,5.759
2015-10-19,5.882,5.83,6.098,5.72
2015-10-20,5.793,5.874,5.892,5.658
2015-10-21,5.866,5.287,6.049,5.287
2015-10-22,5.287,5.475,5.553,5.152
2015-10-23,5.478,5.569,5.606,5.418
2015-10-26,5.647,5.712,5.864,5.569
2015-10-27,5.611,5.791,5.853,5.522
2015-10-28,5.788,5.585,5.838,5.53
2015-10-29,5.632,5.595,5.681,5.522
2015-10-30,5.864,6.156,6.156,5.736
2015-11-02,6.388,6.771,6.771,6.257
2015-12-08,7.449,7.449,7.449,7.449
2015-12-09,7.822,7.814,8.194,7.431
2015-12-10,7.475,7.157,7.574,7.032
2015-12-11,7.013,6.907,7.149,6.656
2015-12-14,6.695,6.86,6.943,6.633
2015-12-15,6.844,6.893,7.092,6.8
2015-12-16,6.922,7.154,7.259,6.781
2015-12-17,7.232,7.869,7.869,7.232
2015-12-18,7.952,7.483,8.161,7.444
2015-12-21,7.3,7.498,7.665,7.222
2015-12-22,7.459,7.545,7.683,7.318
2015-12-23,7.535,7.363,7.626,7.3
2015-12-24,7.248,7.219,7.35,7.068
2015-12-25,7.222,7.509,7.665,7.222
2015-12-28,7.587,7.274,7.712,7.274
2015-12-29,7.212,7.352,7.389,7.212
2015-12-30,7.381,7.376,7.454,7.222
2015-12-31,7.326,7.17,7.399,7.092
2016-01-04,7.092,6.453,7.149,6.453
2016-01-05,5.934,6.07,6.382,5.809
2016-01-14,5.462,5.673,5.997,5.462
2016-01-15,5.475,5.105,5.548,5.105
2016-01-18,4.855,5.087,5.196,4.829
2016-01-19,5.027,5.311,5.376,4.977
2016-01-20,5.235,5.269,5.439,5.214
2016-01-21,5.11,5.267,5.579,5.11
2016-01-22,5.324,5.337,5.449,5.165
2016-01-25,5.358,5.298,5.423,5.214
2016-01-26,5.233,4.769,5.277,4.769
2016-01-27,4.758,4.503,4.758,4.302
2016-01-28,4.406,4.052,4.456,4.052
2016-01-29,3.937,4.336,4.435,3.937
2016-02-01,4.349,4.435,4.438,4.192
2016-02-02,4.745,4.878,4.878,4.706
2016-02-03,5.162,5.363,5.363,4.881
2016-02-04,5.214,5.569,5.843,5.168
2016-02-05,5.527,5.347,5.553,5.345
2016-02-15,5.16,5.366,5.488,5.045
2016-02-16,5.394,5.522,5.647,5.368
2016-02-17,5.488,5.553,5.577,5.345
2016-02-18,5.556,5.697,5.918,5.556
2016-02-19,5.632,5.702,5.767,5.632
2016-02-22,5.827,5.879,5.989,5.814
2016-02-23,5.866,5.71,5.871,5.606
2016-02-24,5.697,5.785,5.814,5.556
2016-02-25,5.785,5.207,5.785,5.207
2016-02-26,5.246,5.058,5.29,4.946
2016-02-29,5.097,4.633,5.1,4.563
2016-03-01,4.683,5.055,5.055,4.664
2016-03-02,5.131,5.47,5.525,5.058
2016-03-03,5.446,5.431,5.54,5.308
2016-03-04,5.423,5.081,5.47,4.975
2016-03-07,5.089,5.23,5.306,5.089
2016-03-08,5.212,5.238,5.251,4.902
2016-03-09,5.126,5.097,5.227,5.063
2016-03-10,5.131,5.016,5.183,5.006
2016-03-11,4.98,5.019,5.081,4.922
2016-03-14,5.084,5.28,5.373,5.084
2016-03-15,5.238,5.173,5.293,5.131
2016-03-16,5.256,5.141,5.272,5.097
2016-03-17,5.17,5.368,5.371,5.152
2016-03-18,5.371,5.574,5.652,5.371
