date,open,close,high,low,volume,code
2015-06-30,2.143,2.571,2.571,2.143,460.0,002770
2015-07-01,2.829,2.829,2.829,2.829,120.0,002770
2015-07-02,3.113,3.113,3.113,3.113,342.0,002770
2015-07-03,3.423,3.423,3.423,3.423,2426.0,002770
2015-07-06,3.765,3.765,3.765,3.765,3328.0,002770
2015-07-07,4.14,3.658,4.14,3.655,414208.0,002770
2015-07-08,3.293,3.293,3.293,3.293,47000.0,002770
2015-07-09,3.024,3.621,3.621,3.024,212434.0,002770
2015-07-10,3.984,3.984,3.984,3.984,8314.0,002770
2015-07-13,4.383,4.383,4.383,4.383,55757.0,002770
2015-07-14,4.771,4.821,4.821,4.497,107688.0,002770
2015-07-15,5.081,4.823,5.303,4.563,413728.0,002770
2015-07-16,4.341,4.57,5.032,4.341,260959.0,002770
2015-07-17,4.589,4.881,5.001,4.427,215560.0,002770
2015-07-20,4.693,4.641,4.922,4.565,186280.0,002770
2015-07-21,4.511,5.105,5.105,4.401,194223.0,002770
2015-07-22,5.214,4.995,5.449,4.847,249199.0,002770
2015-07-23,4.922,5.496,5.496,4.902,168259.0,002770
2015-07-24,5.866,6.046,6.046,5.684,306589.0,002770
2015-07-27,5.918,5.83,6.596,5.697,370578.0,002770
2015-07-28,5.251,6.088,6.283,5.246,263381.0,002770
2015-07-29,6.179,6.698,6.698,5.866,236107.0,002770
2015-07-30,6.909,7.17,7.368,6.766,315935.0,002770
2015-07-31,7.013,7.887,7.887,6.784,330040.0,002770
2015-08-03,7.9,8.677,8.677,7.704,274685.0,002770
2015-08-04,9.112,7.955,9.545,7.809,406999.0,002770
2015-08-05,7.496,8.75,8.75,7.214,335554.0,002770
2015-08-06,8.75,9.383,9.595,7.952,383029.0,002770
2015-08-07,8.891,9.18,9.907,8.734,285808.0,002770
2015-08-10,8.906,9.086,9.503,8.669,283019.0,002770
2015-08-11,9.044,9.164,9.49,8.841,230856.0,002770
2015-08-12,8.865,8.338,9.073,8.333,208213.0,002770
2015-08-13,8.082,8.088,8.325,7.691,190873.0,002770
2015-08-14,8.082,7.996,8.262,7.824,162696.0,002770
2015-08-17,7.952,7.303,7.952,7.3,154516.0,002770
2015-08-18,7.248,7.59,7.939,6.938,200700.0,002770
2015-08-19,7.431,7.462,7.848,6.922,176841.0,002770
2015-08-20,7.217,6.716,7.269,6.716,123269.0,002770
2015-08-21,6.401,6.044,6.586,6.044,102151.0,002770
2015-08-24,5.493,5.439,5.699,5.439,29629.0,002770
2015-08-25,4.894,4.896,5.885,4.894,176277.0,002770
2015-08-26,5.032,5.387,5.387,4.771,252640.0,002770
2015-08-27,5.632,5.926,5.926,5.261,267885.0,002770
2015-08-28,5.926,6.127,6.427,5.652,231398.0,002770
2015-08-31,5.918,5.514,6.101,5.514,138157.0,002770
2015-09-01,5.214,4.964,5.397,4.964,112119.0,002770
2015-09-02,4.526,4.526,5.209,4.511,131160.0,002770
2015-09-07,4.67,4.743,4.98,4.615,117895.0,002770
2015-09-08,4.534,5.217,5.217,4.534,227571.0,002770
2015-09-09,5.603,5.739,5.739,5.475,271748.0,002770
